"id","prior_prob_count","prior_percent_correct","problems_attempted","mean_correct","mean_hint","mean_attempt","mean_confidence"
172777,650,0.723076923,4,1,0,1,0.550159261764027
175658,1159,0.80069025,22,0.454545454545455,2.22727272727273,1.22727272727273,0.437514842768246
175669,1239,0.656981437,11,0.636363636363636,1.36363636363636,1.72727272727273,0.511060416445201
176151,1246,0.72953451,16,0.75,0.5625,1.1875,0.491577736485782
176165,1299,0.56812933,6,0.333333333333333,2.16666666666667,2,0.409886878715214
176168,1415,0.684805654,11,0.545454545454545,2,1.27272727272727,0.601511287387991
176461,753,0.499335989,11,0.363636363636364,2.09090909090909,2,0.442613511049362
176486,772,0.57642487,10,0.3,3.4,2.9,0.503996345736833
176488,529,0.674858223,19,0.421052631578947,2.31578947368421,1.73684210526316,0.517525602315897
176494,1226,0.644371941,12,0.25,2.91666666666667,1.66666666666667,0.587711925492987
176522,1206,0.647595357,12,0.583333333333333,1.83333333333333,1.41666666666667,0.407305606978182
176613,1139,0.696224759,22,0.5,2.13636363636364,1.54545454545455,0.52124102064262
176623,1326,0.781297134,10,0.8,1,1.2,0.639609675140108
176627,1195,0.710460251,12,0.416666666666667,2.16666666666667,1.58333333333333,0.536518875606072
176630,1192,0.61409396,17,0.352941176470588,2.29411764705882,1.52941176470588,0.416144085930876
177719,606,0.4669967,20,0.25,3.05,2.05,0.481286139465995
177725,596,0.498322148,13,0.307692307692308,2.07692307692308,11.1538461538462,0.701137084300887
191678,498,0.65060241,2,0.5,0,1,0.584215659461346
226336,1469,0.769060585,4,1,0,1,0.286297036503063
226440,1386,0.792388167,4,1,0,1,0.514446354335224
226444,1570,0.775159236,4,1,0,1,0.642682893020942
226724,846,0.752659574,6,0.833333333333333,0.833333333333333,1.16666666666667,0.579212357992894
226737,700,0.674285714,2,0.5,0,0.5,0.409770578740284
226822,1418,0.754760226,6,0.833333333333333,0.833333333333333,1.16666666666667,0.355478144602503
227012,1054,0.730313093,4,1,0,1,0.617225877898913
227014,1271,0.748623131,3,0.333333333333333,1.66666666666667,1.33333333333333,0.592955703389285
227114,1081,0.647548566,6,0.833333333333333,0.833333333333333,1.16666666666667,0.54907790392567
227979,1372,0.780612245,4,1,0,1,0.483305925991022
228539,1454,0.702372765,7,0.857142857142857,0,1.14285714285714,0.522270972864834
229126,398,0.854271357,4,1,0,1,0.504958953464936
229127,407,0.71990172,12,0.916666666666667,0,1.16666666666667,0.506823680113222
229130,398,0.653266332,3,0.333333333333333,1.66666666666667,1.33333333333333,0.396104372460478
229141,399,0.749373434,8,0.625,0.125,1.375,0.454881618134717
229147,387,0.757105943,8,1,0,1,0.661999076182035
229152,395,0.794936709,8,1,0,1,0.392982688319426
229153,400,0.8225,6,0.833333333333333,0,1.16666666666667,0.566521255860091
229156,398,0.904522613,4,1,0,1,0.465203669840674
229157,398,0.834170854,12,0.833333333333333,0.5,1.75,0.478793183789601
229165,391,0.501278772,7,0.714285714285714,1.28571428571429,1.57142857142857,0.69261843023809
229166,392,0.74744898,3,0.666666666666667,0,0.666666666666667,0.391934290081762
229167,399,0.746867168,2,0.5,0,1.5,0.440628712350208
229170,399,0.897243108,8,1,0,1,0.487748460498898
229179,398,0.83919598,32,0.53125,1.625,1.28125,0.610421774088789
229180,443,0.557562077,28,0.178571428571429,3.14285714285714,1.42857142857143,0.668724533458452
229182,313,0.552715655,22,0.136363636363636,3.54545454545455,1.27272727272727,0.415982791713161
229185,391,0.803069054,26,0.615384615384615,0.576923076923077,1.57692307692308,0.527301868242846
229186,398,0.861809045,4,1,0,1,0.548049162386108
229213,407,0.788697789,6,0.833333333333333,0,1.16666666666667,0.572374083144337
229218,394,0.710659898,15,0.666666666666667,1.46666666666667,1.53333333333333,0.546103956934464
229223,376,0.691489362,7,0.857142857142857,0.571428571428571,1.14285714285714,0.666503233030671
229225,390,0.676923077,2,0.5,0,1,0.714031521633875
229227,411,0.615571776,13,0.230769230769231,3,1.92307692307692,0.533744662734154
229244,399,0.847117794,34,0.911764705882353,0.147058823529412,1.11764705882353,0.420679259033762
229255,369,0.720867209,17,0.823529411764706,0.588235294117647,1.64705882352941,0.554563082029133
229270,398,0.753768844,10,0.7,0.5,1.9,0.304118554789997
229288,399,0.776942356,16,0.8125,0.625,1.5625,0.694145077572801
229290,355,0.766197183,2,0.5,0,1.5,0.328374401897829
229293,398,0.748743719,17,0.823529411764706,0,1.47058823529412,0.464063112479947
229294,395,0.8,11,0.909090909090909,0.363636363636364,1.09090909090909,0.469026230264285
229305,398,0.814070352,6,0.833333333333333,0.166666666666667,1.16666666666667,0.613074989267219
229307,366,0.557377049,29,0.689655172413793,1.27586206896552,1.55172413793103,0.480554969002227
229318,399,0.804511278,11,0.909090909090909,0,1.09090909090909,0.314249614445613
229319,300,0.593333333,3,0.333333333333333,1.66666666666667,1,0.613765292048452
229323,293,0.740614334,13,0.538461538461538,0.461538461538462,1.76923076923077,0.554589408878139
229326,383,0.817232376,4,1,0,1,0.49043354750442
229329,393,0.539440204,2,0.5,0,0.5,0.512550221441212
229332,310,0.690322581,2,0.5,2.5,1.5,0.391880719494226
229337,415,0.74939759,23,0.304347826086957,2.34782608695652,3.43478260869565,0.379273492925032
229338,399,0.789473684,2,0.5,0,1,0.526551671361168
229339,404,0.747524752,14,0.785714285714286,0.357142857142857,1.64285714285714,0.614423041752181
229342,397,0.788413098,14,0.857142857142857,0.714285714285714,1.42857142857143,0.535769725697254
229349,408,0.727941176,53,0.716981132075472,0.867924528301887,1.49056603773585,0.519016072484778
229350,401,0.74563591,42,0.738095238095238,0.428571428571429,1.66666666666667,0.244449777643672
229360,411,0.773722628,8,0.75,0,1.875,0.541856278112157
229372,409,0.542787286,6,0.833333333333333,0,1.5,0.474684524530328
229381,399,0.766917293,2,0.5,0,0.5,0.708299756767436
229396,398,0.851758794,34,0.411764705882353,2.23529411764706,1.44117647058824,0.396135886235875
229397,398,0.75879397,27,0.851851851851852,0.62962962962963,1.40740740740741,0.381375391345129
229407,398,0.907035176,14,0.928571428571429,0,1.28571428571429,0.392063461453665
229411,401,0.713216958,30,0.733333333333333,0.766666666666667,1.56666666666667,0.617672737870529
229421,402,0.723880597,12,1,0,1,0.658470331837562
229427,398,0.771356784,8,0.875,0.125,1.125,0.325515493918891
